time,inflow,water_level,water_level_observed
0.0,0.010497,0.5,0.503785
1.0,0.009862,0.491704,0.487093
2.0,0.010648,0.48293,0.487278
3.0,0.011523,0.475109,0.481887
4.0,0.009766,0.468313,0.47038
5.0,0.009766,0.459891,0.469275
6.0,0.011579,0.451634,0.447765
7.0,0.010767,0.445353,0.43913
8.0,0.009531,0.438384,0.429491
9.0,0.010543,0.430318,0.437799
10.0,0.009537,0.423427,0.426699
11.0,0.009534,0.41567,0.415392
12.0,0.010242,0.408069,0.409469
13.0,0.008087,0.401334,0.395707
14.0,0.008275,0.392584,0.404813
15.0,0.009438,0.384207,0.384853
16.0,0.008987,0.377172,0.377719
17.0,0.010314,0.369837,0.373466
18.0,0.009092,0.363989,0.366394
19.0,0.008588,0.357047,0.358166
20.0,0.011466,0.349754,0.345801
21.0,0.009774,0.345502,0.347859
22.0,0.010068,0.339655,0.349065
23.0,0.008575,0.334233,0.34096
24.0,0.009456,0.327444,0.33541
25.0,0.010111,0.321692,0.319135
26.0,0.008849,0.316729,0.311781
27.0,0.010376,0.310621,0.309992
28.0,0.009399,0.306184,0.306463
29.0,0.009708,0.300878,0.306349
30.0,0.009398,0.296008,0.287546
31.0,0.011852,0.290947,0.298595
32.0,0.009987,0.288464,0.287674
33.0,0.008942,0.284176,0.282042
34.0,0.010823,0.278951,0.273891
35.0,0.008779,0.275737,0.267463
36.0,0.010209,0.270561,0.274676
37.0,0.00804,0.266945,0.267312
38.0,0.008672,0.261254,0.254805
39.0,0.010197,0.256342,0.249867
40.0,0.010738,0.253083,0.251404
41.0,0.010171,0.250452,0.258797
42.0,0.009884,0.247323,0.246025
43.0,0.009699,0.24399,0.236474
44.0,0.008521,0.240561,0.239333
45.0,0.00928,0.236048,0.234684
46.0,0.009539,0.232416,0.218931
47.0,0.011057,0.229142,0.228871
48.0,0.010344,0.227478,0.226323
49.0,0.008237,0.225146,0.228627
50.0,0.010324,0.220772,0.230017
51.0,0.009615,0.218609,0.224242
52.0,0.009323,0.215798,0.214453
53.0,0.010612,0.212775,0.207242
54.0,0.011031,0.211127,0.223994
55.0,0.010931,0.209947,0.210243
56.0,0.009161,0.2087,0.20877
57.0,0.009691,0.20572,0.205599
58.0,0.010331,0.203357,0.204347
59.0,0.010976,0.201703,0.200981
60.0,0.009521,0.200743,0.197874
61.0,0.009814,0.198356,0.195622
62.0,0.008894,0.196334,0.19617
63.0,0.008804,0.193451,0.190734
64.0,0.010813,0.190566,0.187002
65.0,0.011356,0.189777,0.190309
66.0,0.009928,0.189555,0.18828
67.0,0.011004,0.187912,0.195432
68.0,0.010362,0.187395,0.17414
69.0,0.009355,0.186252,0.19171
70.0,0.010361,0.184137,0.190368
71.0,0.011538,0.183094,0.172727
72.0,0.009964,0.18326,0.181547
73.0,0.011565,0.181847,0.17999
74.0,0.00738,0.182079,0.175041
75.0,0.010822,0.178118,0.174229
76.0,0.010087,0.177724,0.172171
77.0,0.009701,0.176607,0.185368
78.0,0.010092,0.175139,0.179818
79.0,0.008012,0.174109,0.180466
80.0,0.00978,0.171032,0.17464
81.0,0.010357,0.169821,0.164176
82.0,0.011478,0.169226,0.166603
83.0,0.009482,0.169771,0.172218
84.0,0.009192,0.168302,0.162192
85.0,0.009498,0.166591,0.170156
86.0,0.010915,0.165242,0.16404
87.0,0.010329,0.165354,0.16348
88.0,0.00947,0.164875,0.16843
89.0,0.010513,0.163554,0.165775
90.0,0.010097,0.163319,0.161514
91.0,0.010969,0.162676,0.168473
92.0,0.009298,0.162925,0.15752
93.0,0.009672,0.161496,0.164576
94.0,0.009608,0.160488,0.163454
95.0,0.008536,0.159449,0.157901
96.0,0.010296,0.157373,0.159004
97.0,0.010261,0.157126,0.150871
98.0,0.010005,0.156853,0.161473
99.0,0.009765,0.156332,0.155408
100.0,0.008585,0.155589,5.0
101.0,0.009579,0.153691,0.158936
102.0,0.009657,0.152851,0.14933
103.0,0.009198,0.152118,0.145076
104.0,0.009839,0.15095,0.143167
105.0,0.010404,0.150463,0.153493
106.0,0.011886,0.150558,0.144156
107.0,0.010175,0.152132,0.160906
108.0,0.010258,0.151941,0.141531
109.0,0.009926,0.151839,0.160321
110.0,0.008081,0.151409,0.152464
111.0,0.009973,0.149148,0.148665
112.0,0.01006,0.148858,0.146133
113.0,0.012463,0.148664,0.15066
114.0,0.009808,0.150881,0.150692
115.0,0.010302,0.150365,0.155881
116.0,0.009965,0.150361,0.150932
117.0,0.008831,0.150021,0.150772
118.0,0.011143,0.148558,0.14674
119.0,0.010752,0.149457,0.149173
120.0,0.010791,0.149935,0.151474
121.0,0.009091,0.150435,0.141884
122.0,0.011403,0.149218,0.142477
123.0,0.008598,0.150354,0.154071
124.0,0.010587,0.148647,0.149501
125.0,0.01219,0.148987,0.148067
126.0,0.009009,0.15092,0.151012
127.0,0.009434,0.149604,0.151342
128.0,0.0101,0.148759,0.14606
129.0,0.009497,0.148608,0.144716
130.0,0.008449,0.147859,0.148838
131.0,0.010069,0.146089,0.141197
132.0,0.008938,0.146,0.148041
133.0,0.010474,0.144782,0.136269
134.0,0.009081,0.145143,0.150289
135.0,0.01155,0.144099,0.146462
136.0,0.009217,0.14556,0.14684
137.0,0.009678,0.144637,0.149551
138.0,0.010814,0.144208,0.152535
139.0,0.008769,0.144929,0.150001
140.0,0.010227,0.14358,0.134376
141.0,0.011307,0.143738,0.13734
142.0,0.008393,0.144969,0.141845
143.0,0.010185,0.143242,0.143373
144.0,0.01026,0.143368,0.145957
145.0,0.010782,0.143565,0.139936
146.0,0.008763,0.144277,0.145211
147.0,0.00868,0.142945,0.139168
148.0,0.010522,0.141577,0.138519
149.0,0.010297,0.142099,0.135065
150.0,0.01025,0.142377,0.137761
151.0,0.010346,0.1426,0.135841
152.0,0.00932,0.14291,0.138031
153.0,0.010232,0.142183,0.147451
154.0,0.010293,0.142394,0.137647
155.0,0.009286,0.142658,0.15582
156.0,0.011866,0.141906,0.144373
157.0,0.010474,0.14376,0.144684
158.0,0.008809,0.144157,0.139866
159.0,0.010657,0.142875,0.146377
160.0,0.009025,0.143486,0.140608
161.0,0.010787,0.142444,0.143055
162.0,0.011159,0.143201,0.156001
163.0,0.009179,0.144303,0.143822
164.0,0.010963,0.143386,0.149132
165.0,0.010413,0.144286,0.14077
166.0,0.010822,0.144603,0.144429
167.0,0.011897,0.145319,0.154173
168.0,0.009755,0.147085,0.14395
169.0,0.009246,0.146647,0.155709
170.0,0.00911,0.145716,0.149254
171.0,0.009184,0.144681,0.141869
172.0,0.009923,0.143756,0.146918
173.0,0.010341,0.143603,0.148465
174.0,0.010277,0.143873,0.146982
175.0,0.010827,0.144069,0.136218
176.0,0.010013,0.144808,0.141173
177.0,0.011454,0.144708,0.14347
178.0,0.009735,0.146052,0.145679
179.0,0.01272,0.14563,0.148733
180.0,0.010626,0.148208,0.149097
181.0,0.009143,0.148602,0.141926
182.0,0.008929,0.1475,0.149401
183.0,0.010482,0.146222,0.149275
184.0,0.009777,0.146542,0.149341
185.0,0.010714,0.146145,0.151549
186.0,0.010473,0.146699,0.150869
187.0,0.009927,0.146993,0.149289
188.0,0.009153,0.146731,0.14638
189.0,0.008485,0.145704,0.137399
190.0,0.009553,0.144044,0.146192
191.0,0.010856,0.143511,0.144549
192.0,0.010214,0.144299,0.145657
193.0,0.008754,0.144418,0.138034
194.0,0.010173,0.143072,0.137667
195.0,0.010385,0.143193,0.148459
196.0,0.009116,0.143521,0.143324
197.0,0.010154,0.142569,0.145977
198.0,0.010058,0.142688,0.14283
199.0,0.008857,0.142707,0.142856
200.0,0.030358,0.141524,0.146216
201.0,0.030561,0.161884,0.159304
202.0,0.031083,0.181752,0.182232
203.0,0.031054,0.201505,0.199193
204.0,0.028622,0.220628,0.218456
205.0,0.029062,0.236767,0.235221
206.0,0.030515,0.252898,0.254008
207.0,0.030514,0.270047,0.267654
208.0,0.030515,0.28675,0.293029
209.0,0.033853,0.303034,0.298561
210.0,0.030571,0.322257,0.321322
211.0,0.031136,0.33774,0.335542
212.0,0.030954,0.353431,0.360666
213.0,0.030651,0.368585,0.369568
214.0,0.029685,0.383101,0.388261
215.0,0.030759,0.396336,0.388909
216.0,0.029227,0.410364,0.411699
217.0,0.029763,0.422566,0.427014
218.0,0.029515,0.435053,0.435465
219.0,0.030082,0.447038,0.452366
220.0,0.032315,0.459351,0.456764
221.0,0.028133,0.473653,0.4807
222.0,0.030686,0.483495,0.494989
223.0,0.028387,0.495701,0.493887
224.0,0.029528,0.505377,0.50315
225.0,0.031089,0.516012,0.523279
226.0,0.030064,0.52801,0.535908
227.0,0.028922,0.538762,0.536148
228.0,0.029285,0.548177,0.546076
229.0,0.03068,0.557785,0.556376
230.0,0.02927,0.568615,0.561893
231.0,0.030216,0.577845,0.573251
232.0,0.030046,0.587858,0.582838
233.0,0.029348,0.597527,0.593688
234.0,0.032144,0.606332,0.606158
235.0,0.030634,0.617781,0.618952
236.0,0.027975,0.627526,0.635279
237.0,0.030186,0.634448,0.629456
238.0,0.029338,0.643465,0.648387
239.0,0.030852,0.651485,0.650415
240.0,0.029207,0.660886,0.660639
241.0,0.029885,0.668488,0.671862
242.0,0.030505,0.676644,0.67103
243.0,0.030866,0.685287,0.687199
244.0,0.0288,0.694152,0.694985
245.0,0.029665,0.700809,0.703272
246.0,0.029525,0.708226,0.709672
247.0,0.029347,0.715386,0.727662
248.0,0.031765,0.722254,0.719065
249.0,0.030405,0.731433,0.728778
250.0,0.028739,0.739108,0.735993
251.0,0.030918,0.744999,0.742222
252.0,0.032122,0.752978,0.749791
253.0,0.031032,0.762038,0.767983
254.0,0.028481,0.76987,0.776973
255.0,0.029516,0.775032,0.772178
256.0,0.031267,0.781151,0.776989
257.0,0.029292,0.788929,0.791286
258.0,0.030444,0.794615,0.791854
259.0,0.030775,0.801368,0.804533
260.0,0.029073,0.808352,0.809366
261.0,0.02994,0.81353,0.805951
262.0,0.026759,0.819499,0.827237
263.0,0.028976,0.822199,0.831179
264.0,0.029747,0.827076,0.824012
265.0,0.028752,0.832654,0.830715
266.0,0.031632,0.837155,0.838584
267.0,0.02857,0.844471,0.846143
268.0,0.02956,0.848618,0.851911
269.0,0.030131,0.853695,0.863746
270.0,0.031441,0.85927,0.858386
271.0,0.028564,0.866076,0.862084
272.0,0.031163,0.869907,0.86301
273.0,0.03001,0.876282,0.872628
274.0,0.029018,0.881414,0.881249
275.0,0.030462,0.885482,0.894454
